from,to,cost
508301,608102,0.24545454545454545
508301,608106,0.24545454545454545
508301,507202,0.21363636363636362
508301,507206,0.21363636363636362
508301,509101,0.24545454545454545
508301,509105,0.24545454545454545
508305,608102,0.24545454545454545
508305,608106,0.24545454545454545
508305,507202,0.21363636363636362
508305,507206,0.21363636363636362
508305,509101,0.24545454545454545
508305,509105,0.24545454545454545
508304,509101,0.24545454545454545
508304,509105,0.24545454545454545
508304,608102,0.1818181818181818
508304,608106,0.1818181818181818
508304,508205,0.24545454545454545
508308,509101,0.24545454545454545
508308,509105,0.24545454545454545
508308,608102,0.1818181818181818
508308,608106,0.1818181818181818
508308,508205,0.24545454545454545
508303,507202,0.24545454545454545
508303,507206,0.24545454545454545
508303,608102,0.24545454545454545
508303,608106,0.24545454545454545
508303,508205,0.1818181818181818
508307,507202,0.24545454545454545
508307,507206,0.24545454545454545
508307,608102,0.24545454545454545
508307,608106,0.24545454545454545
508307,508205,0.1818181818181818
508302,508205,0.24545454545454545
508302,509101,0.21363636363636362
508302,509105,0.21363636363636362
508302,507202,0.24545454545454545
508302,507206,0.24545454545454545
508306,508205,0.24545454545454545
508306,509101,0.21363636363636362
508306,509105,0.21363636363636362
508306,507202,0.24545454545454545
508306,507206,0.24545454545454545
