from,to,cost
508301,608102,0.38333333333333336
508301,608106,0.38333333333333336
508301,507202,0.23750000000000002
508301,507206,0.23750000000000002
508301,509101,0.38333333333333336
508301,509105,0.38333333333333336
508305,608102,0.38333333333333336
508305,608106,0.38333333333333336
508305,507202,0.23750000000000002
508305,507206,0.23750000000000002
508305,509101,0.38333333333333336
508305,509105,0.38333333333333336
508304,509101,0.3
508304,509105,0.3
508304,608102,0.09166666666666666
508304,608106,0.09166666666666666
508304,508201,0.3
508304,508205,0.3
508308,509101,0.3
508308,509105,0.3
508308,608102,0.09166666666666666
508308,608106,0.09166666666666666
508308,508201,0.3
508308,508205,0.3
508303,507202,0.3
508303,507206,0.3
508303,608102,0.3
508303,608106,0.3
508303,508201,0.09166666666666666
508303,508205,0.09166666666666666
508307,507202,0.3
508307,507206,0.3
508307,608102,0.3
508307,608106,0.3
508307,508201,0.09166666666666666
508307,508205,0.09166666666666666
508302,508201,0.38333333333333336
508302,508205,0.38333333333333336
508302,509101,0.23750000000000002
508302,509105,0.23750000000000002
508302,507202,0.38333333333333336
508302,507206,0.38333333333333336
508306,508201,0.38333333333333336
508306,508205,0.38333333333333336
508306,509101,0.23750000000000002
508306,509105,0.23750000000000002
508306,507202,0.38333333333333336
508306,507206,0.38333333333333336
